Start Time (UTC),End Time (UTC),Variation Name,Variation ID,Is Baseline Variation,Metric Event Name,Metric Event ID,Metric Numerator Type,Metric Denominator Type,Metric Winning Direction,Numerator Value,Denominator Value,Metric Value,Improvement Status from Baseline,Improvement Value from Baseline,Statistical Significance,Is Improvement Significant,Confidence Interval - Low,Confidence Interval - High,Samples Remaining to Significance
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Banner Tapped""",20930692416,unique conversions,visitor,increasing,269,61499,0.004374055,better,5.252457121,0.226976879,FALSE,-6.246045232,16.75095947,3450
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Banner Tapped""",20930692416,unique conversions,visitor,increasing,172,61325,0.002804729,better,3.009196902,0.171512536,FALSE,-3.915101338,9.933495141,6838
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Banner Tapped""",20930692416,unique conversions,visitor,increasing,43,61466,0.000699574,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Banner Tapped""",20930692416,total conversions,visitor,increasing,280,61499,0.00455292,better,5.218883415,0.208142207,FALSE,-6.65293426,17.09070109,3653
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Banner Tapped""",20930692416,total conversions,visitor,increasing,189,61325,0.00308194,better,3.209656747,0.106377789,FALSE,-4.997317297,11.41663079,7271
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Banner Tapped""",20930692416,total conversions,visitor,increasing,45,61466,0.000732112,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Start Designing Tapped""",22572560911,unique conversions,visitor,increasing,44629,61499,0.725686597,better,n/a,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Start Designing Tapped""",22572560911,unique conversions,visitor,increasing,45679,61325,0.744867509,better,n/a,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Start Designing Tapped""",22572560911,unique conversions,visitor,increasing,0,61466,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Start Designing Tapped""",22572560911,total conversions,visitor,increasing,49715,61499,0.808387128,better,n/a,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Start Designing Tapped""",22572560911,total conversions,visitor,increasing,50805,61325,0.828454953,better,n/a,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Start Designing Tapped""",22572560911,total conversions,visitor,increasing,0,61466,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Free Content Messaging Viewed""",22592830766,unique conversions,visitor,increasing,52961,61499,0.861168474,better,n/a,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Free Content Messaging Viewed""",22592830766,unique conversions,visitor,increasing,52742,61325,0.860040766,better,n/a,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Free Content Messaging Viewed""",22592830766,unique conversions,visitor,increasing,0,61466,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Free Content Messaging Viewed""",22592830766,total conversions,visitor,increasing,59596,61499,0.969056407,better,n/a,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Free Content Messaging Viewed""",22592830766,total conversions,visitor,increasing,59300,61325,0.966979209,better,n/a,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Free Content Messaging Viewed""",22592830766,total conversions,visitor,increasing,0,61466,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Subscription Purchased""",18037981307,unique conversions,visitor,increasing,50,61499,0.000813021,worse,-0.450844282,0.996781727,TRUE,-0.758044614,-0.143660745,0
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Subscription Purchased""",18037981307,unique conversions,visitor,increasing,52,61325,0.000847941,worse,-0.427257585,0.999949665,TRUE,-0.750706234,-0.240201362,0
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Subscription Purchased""",18037981307,unique conversions,visitor,increasing,91,61466,0.001480493,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Subscription Cancelled""",20754732768,unique conversions,visitor,increasing,27,61499,0.000439032,worse,-0.80302546,1,TRUE,-0.887860232,-0.723385736,0
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Subscription Cancelled""",20754732768,unique conversions,visitor,increasing,15,61325,0.000244598,worse,-0.890259209,0,FALSE,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Subscription Cancelled""",20754732768,unique conversions,visitor,increasing,137,61466,0.002228874,n/a,n/a,n/a,n/a,n/a,n/a,n/a
